,1.6,2,2.5,3,4,5,6,8,10,12,16,20,24,30,36
2.5,0,,,,,,,,,,,,,,
3,0,0,,,,,,,,,,,,,
4,0,0,0,,,,,,,,,,,,
5,0,0,0,0,,,,,,,,,,,
6,0,0,0,0,0,,,,,,,,,,
8,0,0,0,0,0,0,,,,,,,,,
10,0,0,0,0,0,0,0,,,,,,,,
12,0,0,0,0,0,0,0,0,,,,,,,
16,0,0,0,0,0,0,0,0,0,,,,,,
20,,4,0,0,0,0,0,0,0,0,,,,,
25,,,8,7,0,0,0,0,0,0,0,,,,
30,,,,12,10,8,0,0,0,0,0,0,,,
35,,,,,15,13,11,0,0,0,0,0,,,
40,,,,,20,18,16,12,0,0,0,0,0,,
45,,,,,,23,21,17,13,0,0,0,0,0,
50,,,,,,28,26,22,18,14,0,0,0,0,
55,,,,,,,31,27,23,19,0,0,0,0,0
60,,,,,,,36,32,28,24,16,0,0,0,0
65,,,,,,,,37,33,29,21,0,0,0,0
70,,,,,,,,42,38,34,26,18,0,0,0
80,,,,,,,,52,48,44,36,28,0,0,0
90,,,,,,,,,58,54,46,38,30,0,0
100,,,,,,,,,68,64,56,48,40,28,0
110,,,,,,,,,,74,66,58,50,38,0
120,,,,,,,,,,84,76,68,60,48,46
130,,,,,,,,,,,86,78,70,58,56
140,,,,,,,,,,,96,88,80,68,66
150,,,,,,,,,,,106,98,90,78,76
160,,,,,,,,,,,116,108,110,88,86
180,,,,,,,,,,,,128,120,108,106
200,,,,,,,,,,,,148,140,128,126
