Nominal diameter,0.25,0.30,0.35,0.40,0.45,0.50,0.60,0.70,0.75,0.80,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50
1,0.75,,,,,,,,,,,,,,,,,,,,,
1.1,0.85,,,,,,,,,,,,,,,,,,,,,
1.2,0.95,,,,,,,,,,,,,,,,,,,,,
1.4,,1.10,,,,,,,,,,,,,,,,,,,,
1.6,,,1.25,,,,,,,,,,,,,,,,,,,
1.8,,,1.45,,,,,,,,,,,,,,,,,,,
2,,,,1.60,,,,,,,,,,,,,,,,,,
2.2,,,,,1.75,,,,,,,,,,,,,,,,,
2.5,,,2.15,,2.05,,,,,,,,,,,,,,,,,
3,,,2.65,,,2.50,,,,,,,,,,,,,,,,
3.5,,,3.15,,,,2.90,,,,,,,,,,,,,,,
4,,,,,,3.50,,3.30,,,,,,,,,,,,,,
4.5,,,,,,4.00,,,3.70,,,,,,,,,,,,,
5,,,,,,4.50,,,,4.20,,,,,,,,,,,,
5.5,,,,,,5.00,,,,,,,,,,,,,,,,
6,,,,,,,,,5.20,,5.00,,,,,,,,,,,
7,,,,,,,,,6.20,,6.00,,,,,,,,,,,
8,,,,,,,,,7.20,,7.00,6.80,,,,,,,,,,
9,,,,,,,,,8.20,,8.00,7.80,,,,,,,,,,
10,,,,,,,,,9.20,,9.00,8.80,8.50,,,,,,,,,
11,,,,,,,,,10.20,,10.00,,9.50,,,,,,,,,
12,,,,,,,,,,,11.00,10.80,10.50,10.20,,,,,,,,
14,,,,,,,,,,,13.00,12.80,12.50,,12.00,,,,,,,
15,,,,,,,,,,,14.00,,13.50,,,,,,,,,
16,,,,,,,,,,,15.00,,14.50,,14.00,,,,,,,
17,,,,,,,,,,,16.00,,15.50,,,,,,,,,
18,,,,,,,,,,,17.00,,16.50,,16.00,15.50,,,,,,
20,,,,,,,,,,,19.00,,18.50,,18.00,17.50,,,,,,
22,,,,,,,,,,,21.00,,20.50,,20.00,19.50,,,,,,
24,,,,,,,,,,,23.00,,22.50,,22.00,,21.00,,,,,
25,,,,,,,,,,,24.00,,23.50,,23.00,,,,,,,
26,,,,,,,,,,,,,24.50,,,,,,,,,
27,,,,,,,,,,,26.00,,25.50,,25.00,,24.00,,,,,
28,,,,,,,,,,,27.00,,26.50,,26.00,,,,,,,
30,,,,,,,,,,,29.00,,28.50,,28.00,,27.00,26.50,,,,
32,,,,,,,,,,,,,30.50,,30.00,,,,,,,
33,,,,,,,,,,,,,31.50,,31.00,,30.00,29.50,,,,
35,,,,,,,,,,,,,33.50,,,,,,,,,
36,,,,,,,,,,,,,34.50,,34.00,,33.00,,32.00,,,
38,,,,,,,,,,,,,36.50,,,,,,,,,
39,,,,,,,,,,,,,37.50,,37.00,,36.00,,35.00,,,
40,,,,,,,,,,,,,38.50,,38.00,,37.00,,,,,
42,,,,,,,,,,,,,40.50,,40.00,,39.00,,38.00,37.50,,
45,,,,,,,,,,,,,43.50,,43.00,,42.00,,41.00,40.50,,
48,,,,,,,,,,,,,46.50,,46.00,,45.00,,44.00,,43.00,
50,,,,,,,,,,,,,48.50,,48.00,,47.00,,,,,
52,,,,,,,,,,,,,50.50,,50.00,,49.00,,48.00,,47.00,
56,,,,,,,,,,,,,,,,,,,,,,50.50
