,1.6,2,2.5,3,4,5,6,8,10,12,16,20,24,30,36
2.5,2.5,,,,,,,,,,,,,,
3,3,3,,,,,,,,,,,,,
4,4,4,4,,,,,,,,,,,,
5,5,5,5,5,,,,,,,,,,,
6,6,6,6,6,6,,,,,,,,,,
8,8,8,8,8,8,8,,,,,,,,,
10,10,10,10,10,10,10,10,,,,,,,,
12,12,12,12,12,12,12,12,12,,,,,,,
16,16,16,16,16,16,16,16,16,16,,,,,,
20,,16,20,20,20,20,20,20,20,20,,,,,
25,,,17,18,25,25,25,25,25,25,25,,,,
30,,,,18,20,22,30,30,30,30,30,30,,,
35,,,,,20,22,24,35,35,35,35,35,,,
40,,,,,20,22,24,28,40,40,40,40,40,,
45,,,,,,22,24,28,32,45,45,45,45,45,
50,,,,,,22,24,28,32,36,50,50,50,50,
55,,,,,,,24,28,32,36,55,55,55,55,55
60,,,,,,,24,28,32,36,44,60,60,60,60
65,,,,,,,,28,32,36,44,65,65,65,65
70,,,,,,,,28,32,36,44,52,70,70,70
80,,,,,,,,28,32,36,44,52,80,80,80
90,,,,,,,,,32,36,44,52,60,90,90
100,,,,,,,,,32,36,44,52,60,72,100
110,,,,,,,,,,36,44,52,60,72,110
120,,,,,,,,,,36,44,52,60,72,74
130,,,,,,,,,,,44,52,60,72,74
140,,,,,,,,,,,44,52,60,72,74
150,,,,,,,,,,,44,52,60,72,74
160,,,,,,,,,,,44,52,50,72,74
180,,,,,,,,,,,,52,60,72,74
200,,,,,,,,,,,,52,60,72,74
