"Nominal size (Thread size, d)",Clearance hole d1​ nom. (min.),Clearance hole d1​ max.,Outside diameter d2​ nom. (max.),Outside diameter d2​ min.,Thickness h nom.,Thickness h max.,Thickness h min.
1.6,1.7,1.84,4,3.7,0.3,0.35,0.25
2,2.2,2.34,5,4.7,0.3,0.35,0.25
2.5,2.7,2.84,6,5.7,0.5,0.55,0.45
3,3.2,3.38,7,6.64,0.5,0.55,0.45
3.5,3.7,3.88,8,7.64,0.5,0.55,0.45
4,4.3,4.48,9,8.64,0.8,0.9,0.7
5,5.3,5.48,10,9.64,1,1.1,0.9
6,6.4,6.62,12,11.57,1.6,1.8,1.4
8,8.4,8.62,16,15.57,1.6,1.8,1.4
10,10.5,10.77,20,19.48,2,2.2,1.8
12,13,13.27,24,23.48,2.5,2.7,2.3
14,15,15.27,28,27.48,2.5,2.7,2.3
16,17,17.27,30,29.48,3,3.3,2.7
20,21,21.33,37,36.38,3,3.3,2.7
24,25,25.33,44,43.38,4,4.3,3.7
30,31,31.39,56,55.26,4,4.3,3.7
36,37,37.62,66,64.8,5,5.6,4.4
