"Nominal size (Thread size, d)",Clearance hole d1 nom. (min.),Clearance hole d1 max.,Outside diameter d2 nom. (max.),Outside diameter d2 min.,Thickness h nom.,Thickness h max.,Thickness h min.
1.6,1.7,1.84,3.5,3.2,0.3,0.35,0.25
2,2.2,2.34,4.5,4.2,0.3,0.35,0.25
2.5,2.7,2.84,5,4.7,0.5,0.55,0.45
3,3.2,3.38,6,5.7,0.5,0.55,0.45
4,4.3,4.48,8,7.64,0.5,0.55,0.45
5,5.3,5.48,9,8.64,1,1.1,0.9
6,6.4,6.62,11,10.57,1.6,1.8,1.4
8,8.4,8.62,15,14.57,1.6,1.8,1.4
10,10.5,10.77,18,17.57,1.6,1.8,1.4
12,13,13.27,20,19.48,2,2.2,1.8
16,17,17.27,28,27.48,2.5,2.7,2.3
20,21,21.33,34,33.38,3,3.3,2.7
24,25,25.33,39,38.38,4,4.3,3.7
30,31,31.33,50,49.38,4,4.3,3.7
36,37,37.62,60,58.8,5,5.6,4.4
