"Nominal size (Thread size, d)",Clearance hole d1​ nom. (min.),Clearance hole d1​ max.,Outside diameter d2​ nom. (max.),Outside diameter d2​ min.,Thickness h nom.,Thickness h max.,Thickness h min.
3,3.2,3.38,9,8.64,0.8,0.9,0.7
4,4.3,4.48,12,11.57,1,1.1,0.9
5,5.3,5.48,15,14.57,1,1.1,0.9
6,6.4,6.62,18,17.57,1.6,1.8,1.4
8,8.4,8.62,24,23.48,2,2.2,1.8
10,10.5,10.77,30,29.48,2.5,2.7,2.3
12,13,13.27,37,36.38,3,3.3,2.7
16,17,17.27,50,49.38,3,3.3,2.7
20,21,21.33,60,59.26,4,4.3,3.7
24,25,25.52,72,70.8,5,5.6,4.4
30,33,33.62,92,90.6,6,6.6,5.4
36,39,39.62,110,108.6,8,9,7
16,17,17.27,30,29.48,3,3.3,2.7
20,21,21.33,37,36.38,3,3.3,2.7
24,25,25.33,44,43.38,4,4.3,3.7
30,31,31.39,56,55.26,4,4.3,3.7
36,37,37.62,66,64.8,5,5.6,4.4
